foodname,portiondesc
"Sushi, with egg, no vegetables or seafood, rolled in seaweed",piece
"Paella with meat, Spanish style","cup, boneless"
"Paella with meat, Spanish style","cup, with bones"
"Paella with seafood, Puerto Rican style",cup
Pigeon pea asopao ,cup
"Rice and beans, cooked with margarine",cup
"Rice and beans, cooked without fat",cup
"Rice and beans, cooked with butter",cup
"Rice and beans, cooked with vegetable oil ",cup
"Rice and beans, with tomatoes, cooked with vegetable oil ",cup
"Rice and beans, with tomatoes, cooked without fat",cup
"Rice and beans, with pork, cooked without fat",cup
"Red beans and rice, cooked without fat",cup
Hopping John (blackeye peas and rice),cup
"Rice and vegetables, no sauce, cooked without fat",cup
"Rice and vegetables, no sauce, cooked with margarine",cup
"Rice and vegetables, in a tomato-based sauce",cup
Rice casserole with cheese,cup
Brown rice casserole with cheese,cup
"Rice, cooked with coconut milk ",cup
"Rice and tomato sauce, cooked with margarine",cup
"Rice and tomato sauce, cooked without fat ",cup
"Rice and tomato sauce, cooked with vegetable oil",cup
"Rice, brown with tomato sauce, cooked without fat ",cup
"Rice, brown with tomato sauce, cooked with vegetable oil",cup
"Rice, brown with vegetables, no sauce, cooked without fat",cup
"Rice, brown with vegetables, no sauce, cooked with margarine",cup
Grape leaves stuffed with rice,roll
Rice croquette,croquette
"Stuffed pepper, with meat",portion (1/2 pepper with filling)
"Stuffed pepper, with rice and meat",portion (1/2 pepper with filling)
"Stuffed pepper, with rice, meatless",portion (1/2 pepper with filling)
"Rice pilaf, cooked with vegetable oil",cup
"Dirty rice, cooked with butter",cup
"Dirty rice, cooked with vegetable oil ",cup
"Flavored rice mix, cooked with margarine (Uncle Ben's)",cup
"Flavored rice mix, cooked without fat (Uncle Ben's)",cup
"Flavored rice mix with cheese (rice au gratin), cooked with margarine",cup
"Flavored rice mix with cheese (rice au gratin), cooked without fat",cup
"Flavored rice and pasta mix, cooked with margarine (Rice-a-roni, Lipton)",cup
"Flavored rice and pasta mix, cooked with butter (Rice-a-roni, Lipton)",cup
"Flavored rice and pasta mix, cooked without fat (Rice-a-roni, Lipton)",cup
"Flavored rice and pasta mix, cooked with vegetable oil (Rice-a-roni, Lipton)",cup
"Spanish rice, cooked with vegetable oil",cup
"Spanish rice, cooked with margarine",cup
"Spanish rice, cooked with butter",cup
Tabbouleh (bulgar with tomatoes and parsley),cup
"Wrap sandwich, filled with chicken, vegetables, and rice",sandwich
"Wrap sandwich, filled with vegetables and rice (vegetarian wrap)",sandwich
"Wrap sandwich, filled with vegetables (vegetarian wrap)",sandwich
"Wrap sandwich, filled with chicken, vegetables, rice, and cheese",sandwich
Lasagna with cheese and sauce (diet frozen meal),meal (11 oz)
Lasagna with cheese and sauce (diet frozen meal),Lean Cuisine meal (10 oz)
Vegetable lasagna (frozen meal),Stouffer's meal (10.5 oz)
Zucchini lasagna (diet frozen meal),Lean Cuisine meal (11 oz)
Zucchini lasagna (diet frozen meal),Light and Elegant meal (11.25 oz)
Zucchini lasagna (diet frozen meal),Weight Watchers meal (11 oz)
Zucchini lasagna (diet frozen meal),Lean Cuisine meal (10 oz)
Macaroni and cheese (diet frozen meal),meal (9 oz)
"Spaghetti with beef in tomato-based sauce, lowfat, reduced sodium (diet frozen meal)",Healthy Choice
Noodles with vegetables in tomato-based sauce (diet frozen meal),meal (10 oz)
"Rice, with broccoli, cheese sauce (frozen side dish)",cup
"Rice, with broccoli, cheese sauce (frozen side dish)",side dish (4.5 oz)
Spaghetti with meat and mushroom sauce (diet frozen meal),meal (11.5 oz)
Spaghetti with meat sauce (diet frozen meal),meal (10.5 oz)
"Ravioli, cheese-filled, with tomato sauce (diet frozen meal)",meal (9 oz)
Rigatoni with meat sauce and cheese (diet frozen meal),meal (9.75 oz)
"Ravioli, cheese-filled, with vegetable and fruit (frozen meal)",meal (8.75 oz)
Pasta with vegetable and cheese sauce (diet frozen meal),Weight Watchers meal (9.25 oz)
"Beef enchilada, chili gravy, rice, refried beans (frozen meal)",meal (15 oz)
"Beef enchilada, chili gravy, rice, refried beans (frozen meal)",Banquet meal (11 oz)
Chicken enchilada (diet frozen meal),meal (8.5 oz)
Sausage and french toast (frozen meal),meal (6.5 oz)
Pancakes and sausage (frozen meal),meal (6 oz)
Pancakes and sausage (frozen meal),Jimmy Dean Flapstick
Barley soup,cup
Beef noodle soup,cup
Beef rice soup,cup
"Beef noodle soup, home recipe",cup
Chicken noodle soup,cup
"Chicken noodle soup, canned, low sodium, ready-to-serve",cup
"Chicken noodle soup, home recipe",cup
"Chicken noodle soup, cream of",cup
"Chicken noodle soup, canned, reduced sodium, ready-to-serve",cup
Chicken rice soup,cup
"Chicken or turkey rice soup, home recipe",cup
"Chicken rice soup, canned, reduced sodium, prepared with water or ready-to-serve",cup
"Chicken rice soup, canned, reduced sodium, prepared with water or ready-to-serve",Campbell's can (16 oz)
"Chicken rice soup, canned, reduced sodium, prepared with water or ready-to-serve",Healthy Choice can (15 oz)
Matzo ball soup,cup
Chicken soup with dumplings and potatoes,cup
Chicken soup with dumplings,cup
Turkey noodle soup,cup
"Turkey noodle soup, home recipe",cup
"Soup, mostly noodles (Ramen, Cup Noodles)",cup
"Soup, mostly noodles, reduced fat, reduced sodium (Ramen)",cup
Won ton (wonton) soup,cup
"Noodle soup with vegetables, Asian style",cup
"Tortilla soup, Mexican style ",cup
"Quinoa, cooked (no fat or salt added)",cup
"Quinoa, cooked (no fat or salt added)","package (8.5 oz), precooked"
"Calamondin, raw","fruit (1"" across)"
"Grapefruit, raw","medium (approx 4"" across)"
"Grapefruit, canned or frozen, unsweetened",cup
"Grapefruit, canned or frozen, in light syrup",cup
"Grapefruit and orange sections, raw",cup
"Grapefruit & orange sections, cooked, canned, or frozen, unsweetened",cup
"Grapefruit & orange sections, cooked, canned, or frozen, in light syrup",cup
"Kumquat, raw","fruit (1"" across)"
"Kumquat, cooked or canned, in syrup","fruit (1"" across)"
"Lemon, raw","fruit (2-1/8"" across)"
"Lemon, raw","fruit (2-3/8"" across)"
Lemon pie filling,cup
"Lime, raw","fruit (2"" across)"
"Lime, raw","lime, juiced"
"Orange, raw","medium (2-5/8"" across)"
"Orange, sections, canned, juice pack",cup
Orange peel,tablespoon
"Orange, mandarin, canned or frozen, juice pack",cup
"Orange, mandarin, canned or frozen, juice pack",slice
"Orange, mandarin, canned or frozen, in light syrup",cup
"Orange, mandarin, canned or frozen, drained",cup
"Orange, mandarin, canned or frozen, drained",portion (10 sections)
"Tangelo, raw","medium (2-1/2"" across)"
"Tangerine, raw","medium (2-3/8"" across)"
"Tangerine, raw",clementine
"Grapefruit juice, freshly squeezed",cup
"Grapefruit juice, freshly squeezed","grapefruit, juiced"
"Grapefruit juice, canned, bottled or in a carton",cup
"Grapefruit juice, frozen (reconstituted with water)",cup
"Lemon juice, freshly squeezed",cup
"Lemon juice, freshly squeezed","lemon, juiced"
"Lemon juice, freshly squeezed","wedge, juiced"
"Lemon juice, canned or bottled",cup
"Lemon juice, frozen",cup
"Lime juice, freshly squeezed",cup
"Lime juice, freshly squeezed","juice of 1 lime (2"" across)"
"Lime juice, freshly squeezed",juice of 1 wedge or slice
"Lime juice, canned or bottled",cup
"Lime juice, frozen",cup
"Orange juice, freshly squeezed",cup
"Orange juice, freshly squeezed","orange, juiced"
"Orange juice, carton, can, or bottle",cup
"Orange juice, carton, can, or bottle",McDonald's carton
"Orange juice, carton, can, or bottle",juice box or pouch (6.75 fl oz)
"Orange juice, calcium added, carton, can, or bottle",cup
"Orange juice, frozen (reconstituted with water)",cup
"Orange juice, frozen, not reconstituted",cup
"Orange juice, frozen, calcium added (reconstituted with water)",cup
"Tangerine juice, canned",cup
"Tangerine juice, frozen (reconstituted with water)",cup
"Fruit juice blend, including citrus, 100% juice",cup
"Fruit juice blend, including citrus, 100% juice",juice box or pouch (6.75 fl oz)
"Fruit juice blend, including citrus, 100% juice, with calcium added",cup
"Fruit mix, dried (apples, apricots, dates, papaya, peaches, pears, pineapples, prunes, raisins)",cup
"Apple, dried, uncooked",cup
"Apple, dried, uncooked",ring
"Apple, dried, uncooked, low sodium",cup
"Apple, dried, cooked, unsweetened",cup
"Apple, dried, cooked, with sugar",cup
Apple chips,cup (about 13 chips)
"Apricot, dried, uncooked",apricot half
"Apricot, dried, cooked, unsweetened",apricot half
"Apricot, dried, cooked, with sugar",apricot half
"Banana flakes, dehydrated",cup
Banana chips,cup (about 51 chips)
"Currant, dried",cup
"Cranberries, dried",cup
Date,"cup, pitted, chopped"
"Fig, dried, uncooked",cup
"Fig, dried, cooked, unsweetened",cup
"Fig, dried, cooked, with sugar",cup
"Lychee, dried (lychee nuts)",lychee nut
"Mango, dried",cup
"Mango, dried","strip (3-1/4"" x 7/8"" x 1/8"")"
"Papaya, dried",strip
"Peach, dried, uncooked",cup
"Peach, dried, uncooked",peach half
"Peach, dried, cooked, unsweetened",cup
"Peach, dried, cooked, with sugar",cup
"Pear, dried, uncooked",cup
"Pear, dried, uncooked",pear half
"Pear, dried, cooked, unsweetened",cup
"Pear, dried, cooked, with sugar",cup
"Pineapple, dried",piece
"Plum, dried, salted (crack seed)",cup
"Plum, dried, salted (crack seed)",plum
"Prune, dried, uncooked","cup, pitted"
"Prune, dried, uncooked","cup, with pits"
"Prune, dried, uncooked",prune
"Prune, dried, cooked, unsweetened","cup, pitted"
"Prune, dried, cooked, unsweetened","cup, with pits"
"Prune, dried, cooked, unsweetened",prune
"Prune, dried, cooked, with sugar","cup, pitted"
"Prune, dried, cooked, with sugar","cup, with pits"
"Prune, dried, cooked, with sugar",prune
Raisin,cup
Raisin,tablespoon
"Raisin, cooked",cup
"Raisin, cooked",tablespoon
"Tamarind pulp, dried, sweetened ","cup, pieces, without seeds"
"Tamarind pulp, dried, sweetened ","piece, without seeds"
"Apple, raw","medium (2-3/4"" across)"
"Apple, stewed, unsweetened","cup, sauce"
"Apple, stewed, unsweetened","cup, sliced stewed apples"
"Apple, stewed, with sugar","cup, sauce"
"Apple, stewed, with sugar","cup, sliced stewed apples"
"Apple, stewed, with low calorie sweetener",cup
"Applesauce, with strawberry",cup
"Apple, cooked or canned, with syrup","cup, slices"
"Apple, cooked or canned, with syrup",slice with syrup
"Apple, baked, unsweetened",cup
"Apple, baked, with sugar",cup
"Apple rings, fried",ring
"Apple, pickled",slice
"Apple, fried, with margarine",medium  
"Apple, fried, with butter",medium  
"Apple, fried, with vegetable oil",medium  
"Apricot, raw",apricot
"Apricot, cooked or canned, unsweetened",apricot half with liquid
"Apricot, cooked or canned, in heavy syrup",apricot half with liquid
"Apricot, cooked or canned, in light syrup",apricot half with liquid
"Apricot, cooked or canned, drained solids",apricot half
"Apricot, cooked or canned, juice pack",apricot half with liquid
"Avocado, raw",California avocado (black skin)
"Avocado, raw",Florida avocado (green skin)
"Avocado, raw",slice
"Banana, raw","medium (7"" to 7-7/8"" long)"
"Banana, Chinese, raw","medium (5-1/4"" long)"
"Banana, baked","banana (7-1/4"" long)"
"Banana, ripe, fried, with vegetable oil",medium
"Banana, ripe, fried, with butter",medium
"Banana, ripe, boiled",medium
"Banana, batter-dipped, fried",medium
"Cantaloupe, raw","cup, balls"
"Cantaloupe, frozen (balls)",cup
"Carambola (starfruit), raw","cup, sliced"
"Carambola (starfruit), cooked, with sugar",cup
"Cassaba melon, raw",cup
"Cherries, maraschino",cup
"Cherries, sour, red, raw","cup, pitted"
"Cherries, sour, red, raw","cup, with pits"
Cherry pie filling,cup
"Cherry pie filling, low calorie",cup
"Cherries, sour, red, cooked, unsweetened","cup, pitted"
"Cherries, sweet, raw (Queen Anne, Bing)","cup, pitted"
"Cherries, sweet, raw (Queen Anne, Bing)","cup, with pits"
"Cherries, sweet, raw (Queen Anne, Bing)",cherry
"Cherries, sweet, cooked, unsweetened","cup, pitted"
"Cherries, sweet, cooked, unsweetened","cup, with pits"
"Cherries, sweet, cooked, unsweetened",cherry
"Cherries, sweet, cooked or canned, in heavy syrup","cup, pitted"
"Cherries, sweet, cooked or canned, in heavy syrup","cup, with pits"
"Cherries, sweet, cooked or canned, in heavy syrup",cherry
"Cherries, sweet, cooked or canned, in light syrup","cup, pitted"
"Cherries, sweet, cooked or canned, in light syrup","cup, with pits"
"Cherries, sweet, cooked or canned, in light syrup",cherry
"Cherries, sweet, cooked or canned, drained solids","cup, pitted"
"Cherries, sweet, cooked or canned, drained solids","cup, with pits"
"Cherries, sweet, cooked or canned, drained solids",cherry
"Cherries, sweet, cooked or canned, juice pack","cup, pitted"
"Cherries, sweet, cooked or canned, juice pack","cup, with pits"
"Cherries, sweet, cooked or canned, juice pack",cherry
"Cherries, frozen",cup
"Currant, raw",cup
"Fig, raw","medium (2-1/4"" across)"
"Fig, cooked or canned, unsweetened",fig with liquid
"Fig, cooked or canned, in heavy syrup",fig with liquid
"Fig, cooked or canned, in light syrup",fig with liquid
"Grape, raw","cup, seedless"
"Grape, raw","cup, with seeds"
"Grape, cooked or canned, unsweetened",cup
"Grape, cooked or canned, in heavy syrup",cup
"Guava, raw",cup common guava
"Guava, raw",cup strawberry guava
"Guava, raw",common guava
"Guava, raw",strawberry guava
"Guava shell, canned in heavy syrup",cup
"Juneberries, raw",cup
"Kiwi fruit, raw",cup
"Kiwi fruit, raw",kiwi
"Lychee, raw",cup
"Lychee, raw",lychee
"Lychee, cooked or canned, in sugar or syrup",cup
"Lychee, cooked or canned, in sugar or syrup",lychee with liquid
"Honeydew melon, raw",inch cube
"Honeydew melon, raw",ball
"Honeydew melon, raw","medium (5-1/4"" across)"
"Honeydew melon, raw",wedge (approx 1/16 of melon)
"Honeydew, frozen (balls)",cup
"Honeydew, frozen (balls)",ball
"Mango, raw",mango
"Mango, pickled",tablespoon
"Mango, pickled",slice
"Mango, cooked",ounce(s)
"Nectarine, raw","nectarine (2-1/2"" across)"
"Nectarine, cooked",cup
"Papaya, raw","cup, cubes"
"Papaya, raw","medium (5-1/8"" long x 3"" across)"
"Papaya, raw",slice
"Papaya, green, cooked",cup
"Papaya, cooked or canned, in sugar or syrup",cup
"Passion fruit, raw",passion fruit
"Peach, raw","medium (2-2/3"" across)"
"Peach, cooked or canned, unsweetened",cup
"Peach, cooked or canned, unsweetened",half with liquid
"Peach, cooked or canned, in heavy syrup",half with liquid
"Peach, cooked or canned, in light or medium syrup",half with liquid
"Peach, cooked or canned, drained solids",half
"Peach, cooked or canned, juice pack",half with liquid
"Peach, frozen, unsweetened",half
"Peach, frozen, with sugar",half
"Peach, pickled",peach
"Pear, raw",medium (2-21/2 per pound)
"Pear, Japanese, raw",pear
"Pear, cooked or canned, unsweetened",half with liquid
"Pear, cooked or canned, in heavy syrup",half with liquid
"Pear, cooked or canned, in light syrup",half with liquid
"Pear, cooked or canned, drained solids",half
"Pear, cooked or canned, juice pack",half with liquid
"Persimmon, raw","persimmon (2-1/2"" across x 3-1/2"" high)"
"Pineapple, raw","cup, chunks"
"Pineapple, raw","cup, diced"
"Pineapple, raw",pineapple
"Pineapple, cooked or canned, unsweetened","cup, crushed, sliced, or chunks"
"Pineapple, cooked or canned, unsweetened",chunk with liquid
"Pineapple, cooked or canned, unsweetened",slice or ring with liquid
"Pineapple, cooked or canned, in heavy syrup","cup, crushed, sliced, or chunks"
"Pineapple, cooked or canned, in heavy syrup",chunk with liquid
"Pineapple, cooked or canned, in heavy syrup",slice or ring with liquid
"Pineapple, cooked or canned, in light syrup","cup, crushed, sliced, or chunks"
"Pineapple, cooked or canned, in light syrup",chunk with liquid
"Pineapple, cooked or canned, in light syrup",slice or ring with liquid
"Pineapple, cooked or canned, drained solids",chunk
"Pineapple, cooked or canned, drained solids",spear
"Pineapple, cooked or canned, drained solids",slice or ring
"Pineapple, cooked or canned, juice pack",chunk with liquid
"Pineapple, cooked or canned, juice pack",slice or ring with liquid
"Plum, raw","plum (2-1/8"" across)"
"Plum, cooked or canned, unsweetened","cup, pitted"
"Plum, cooked or canned, unsweetened",plum with liquid
"Plum, cooked or canned, in heavy syrup",cup
"Plum, cooked or canned, in heavy syrup",plum with liquid
"Plum, cooked or canned, in light syrup",cup
"Plum, cooked or canned, in light syrup",plum with liquid
"Plum, cooked or canned, drained solids",cup
"Plum, cooked or canned, drained solids",plum
"Plum, cooked or canned, juice pack",cup
"Plum, cooked or canned, juice pack",plum with liquid
"Plum, pickled",plum
"Pomegranate, raw","pomegranate (3-3/8"" across)"
"Rhubarb, raw",cup
"Rhubarb, cooked or canned, unsweetened",cup
"Rhubarb, cooked or canned, in heavy syrup",cup
"Rhubarb, cooked or canned, in light syrup",cup
"Rhubarb, cooked or canned, drained solids",cup
"Rhubarb, frozen, with sugar",cup
"Tamarind, raw",tamarind
"Watermelon, raw","cup, balls"
"Watermelon, raw","whole round slice (1"" thick)"
"Watermelon, raw",medium wedge
"Blackberries, raw",cup
"Blackberries, cooked or canned, in heavy syrup",cup
"Blackberries, frozen",cup
"Blueberries, raw",cup
"Blueberries, cooked or canned, unsweetened",cup
"Blueberries, cooked or canned, in light syrup",cup
"Blueberries, cooked or canned, in heavy syrup",cup
"Blueberries, frozen, sweetened",cup
"Blueberries, frozen, unsweetened",cup
Blueberry pie filling,cup
"Boysenberries, raw",cup
"Boysenberries, frozen",cup
"Cranberries, raw","cup, whole"
"Cranberries, cooked or canned","cup, sauce"
"Cranberries, cooked or canned",tablespoon
"Cranberries, cooked or canned","slice (1/2"" thick)"
"Dewberries, raw",cup
"Huckleberry, raw",cup
"Loganberries, raw",cup
"Loganberries, frozen",cup
"Mulberries, raw",cup
"Raspberries, black, raw",cup
"Raspberries, red, raw",cup
"Raspberries, cooked or canned, unsweetened",cup
"Raspberries, cooked or canned, in heavy syrup",cup
"Raspberries, frozen, unsweetened",cup
"Raspberries, frozen, unsweetened","cup, frozen"
"Raspberries, frozen, with sugar",cup
"Strawberries, raw","cup, whole"
"Strawberries, raw","medium (1-1/4"" across)"
"Strawberries, raw, with sugar","cup, whole"
"Strawberries, raw, with sugar","medium (1-1/4"" across)"
"Strawberries, cooked or canned, unsweetened",cup
"Strawberries, cooked or canned, in syrup",cup
"Strawberries, frozen, unsweetened",cup
"Strawberries, frozen, with sugar",cup
"Strawberries, frozen, with sugar",berry
"Youngberries, raw",cup
Ambrosia (mixed fruit salad with coconut),cup
"Cranberry-orange relish, uncooked",tablespoon
Cranberry-raspberry Sauce,tablespoon
"Fruit salad, fresh, (no citrus fruits), no dressing",cup
"Fruit salad, fresh, (with citrus fruits), no dressing",cup
"Fruit cocktail or mix, frozen",cup
"Fruit cocktail, cooked or canned, unsweetened",cup
"Fruit cocktail, cooked or canned, in heavy syrup",cup
"Fruit cocktail, cooked or canned, in light syrup",cup
"Tropical fruit cocktail, cooked or canned, in light syrup",cup
"Fruit cocktail, cooked or canned, drained solids",cup
"Fruit cocktail, cooked or canned, juice pack",cup
"Fruit salad, Puerto Rican style (bananas, papayas, oranges, etc.)",cup
Waldorf salad,cup
"Apple salad, with light mayonnaise-type dressing (miracle whip light)",cup
"Apple salad, with sour cream dressing",cup
"Apple salad, with low calorie mayonnaise dressing",cup
"Apple salad, with creamy dressing (ranch)",cup
"Apple salad, with fat free sour cream dressing",cup
"Apple and cabbage salad, with mayonnaise dressing",cup
"Apple and cabbage salad, with vinegar and sugar dressing",cup
Apple and fruit salad with cream dressing,cup
"Apple, candied",medium apple
"Strawberries, chocolate covered ",strawberry
"Strawberries, chocolate covered ",pineapple chunk
"Banana, chocolate-covered with nuts",banana
Banana whip,cup
Prune whip,cup
"Banana, dwarf, fried Puerto Rican style","banana (4"" x 1-1/2"" x 1-1/2"")"
"Banana, dwarf, fried with cheese Puerto Rican style","banana (4"" x 1-1/2"" x 1-1/2"")"
"Fruit salad, with mayonnaise dressing",cup
"Fruit salad, with mayonnaise-type salad dressing (miracle whip)",cup
"Fruit salad, with fat free mayonnaise-type dressing (miracle whip free)",cup
"Fruit salad, with cream",cup
"Fruit salad, with yogurt",cup
"Fruit salad, with sour cream",cup
"Fruit salad, (no citrus fruits), with whipped cream",cup
"Fruit salad, with marshmallows",cup
"Fruit salad (no citrus fruits), with pudding",cup
Fruit dessert with cream and/or pudding and nuts,cup
Lime souffle,cup
Chutney,tablespoon
"Cranberry salad, congealed",cup
Pear salad with dressing,"portion (lettuce, 1/2 pear, dressing)"
"Pineapple salad, with mayonnaise dressing","portion (lettuce, 1 cup diced pineapple, dressing)"
"Pineapple salad, with cream cheese","portion (lettuce, 1 slice of pineapple, cream cheese)"
"Soup, sour cherry",cup
"Soup, fruit (strawberry, watermelon, etc.)",cup
"Fruit juice bar, frozen, all flavors (except orange)",Dole Fruit 'N Juice Bar (2.5 fl oz)
"Fruit juice bar, frozen, all flavors (except orange)",Frozfruit Bar (4 fl oz)
"Fruit juice bar, frozen, all flavors (except orange)",bar (2.5 fl oz)
"Fruit juice bar, frozen, all flavors (except orange)",Popsicle Juice Jets bar (1.6 fl oz)
"Fruit juice bar, frozen, all flavors (except orange)",Chunks O' Fruti bar (3 fl oz)
"Fruit juice bar, frozen, all flavors (except orange)",Minute Maid Fruit Juicee bar (2-1/4 fl oz)
"Fruit juice bar, frozen, all flavors (except orange)",Welch's Fruit Juice bar (3 fl oz)
"Fruit juice bar, frozen, with low calorie sweetener",bar (1.75 fl oz)
"Fruit juice bar, frozen, with low calorie sweetener",Dole Fruit Juice Bar (1.75 fl oz)
"Sorbet, fruit, noncitrus flavor (strawberry, raspberry)",cup
"Sorbet, fruit, citrus flavor (orange, lemon)",cup
"Fruit juice bar with cream, frozen",Dole Fruit and Cream Bar (2.5 fl oz)
"Fruit juice bar with cream, frozen",FrozFruit Cream Bar (4 fl oz)
"Fruit juice blend, 100% juice",cup
"Fruit juice blend, 100% juice",juice box or pouch (6.75 fl oz)
"Fruit juice blend, with cranberry, 100% juice",cup
Apple cider,cup
Apple juice,cup
Blackberry juice,cup
"Cranberry juice, 100%, not a blend",cup
Grape juice,cup
Grape juice,juice box or pouch (6.75 fl oz)
Papaya juice,cup
Passion fruit juice,cup
Pineapple juice,cup
Pomegranate juice,cup
Prune juice,cup
Strawberry juice,cup
Watermelon juice,cup
"Fruit smoothie, fruit or fruit juice only (no dairy products)",cup
"Fruit smoothie, fruit or fruit juice only (no dairy products)",commercial smoothie (20 fl oz)
Apricot nectar,cup
Banana nectar,cup
Cantaloupe nectar,cup
Guava nectar,cup
Mango nectar,cup
Peach nectar,cup
Papaya nectar,cup
Passion fruit nectar,cup
Pear nectar,cup
Soursop nectar,cup
"Vinegar, distilled",tablespoon
"Potato, raw","cup, diced"
"Potato, raw","medium (2-1/4"" to 3"" across)"
"Potato, dry, powdered, not reconstituted","cup, flakes, dry"
"Potato, dry, powdered, not reconstituted","cup, granules, dry"
"Potato, baked, peel not eaten","medium (2-1/4"" to 3"" across)"
"Potato, baked,  peel eaten","medium (2-1/4"" to 3"" across)"
"Potato skins, baked, no fat added","skin from medium potato (2-1/4"" to 3"" across)"
"Potato, boiled, no fat added","medium (2-1/4"" to 3"" across)"
"Potato, boiled (with salt and margarine)","medium (2-1/4"" to 3"" across)"
"Potato, roasted, no fat added","medium (2-1/4"" to 3"" across)"
"Potato, roasted (with salt and vegetable oil) ","medium (2-1/4"" to 3"" across)"
"Potato, stewed Puerto Rican style",medium
"Potato chips, reduced fat",ounce (about 17 chips)
"Potato chips, fat-free",ounce (about 30 chips)
"Potato chips, fat-free, made with Olean (Ruffle's Light)",single serving bag (0.75 oz)
"Potato chips, fat-free, made with Olean (Ruffle's Light)","chip, rippled, ruffled or crinkle cut"
"Potato chips, restructured (Pringles)",1-inch stack (approx 14 chips)
"Potato chips, restructured (Pringles)",Krunch Twist
"Potato chips, restructured (Pringles)",ounce (about 14 chips)
"Potato chips, restructured, reduced-fat and reduced-sodium (Pringles)",1-inch stack (approx 14 chips)
"Potato chips, restructured, reduced-fat and reduced-sodium (Pringles)",ounce (about 14 chips)
"Potato chips, restructured, fat free, made with Olean (Pringles)",1-inch stack (approx 14 chips)
"Potato chips, restructured, fat free, made with Olean (Pringles)",ounce (about 16 chips)
"Potato chips, restructured, baked (Baked Lay's)",single serving bag (1.1 oz)
"Potato chips, unsalted",single serving bag (1 oz)
"Potato chips, unsalted, reduced fat",ounce (about 20 chips)
Potato sticks,single serving bag (1 oz)
Potato skin chips,1-inch stack
Potato skin chips,ounce (about 14 chips)
Vegetable chips,single serving bag (1 oz)
"Potato, cooked, with cheese sauce (au gratin)",cup
"Potato, cooked, with cheese sauce (au gratin), no fat added",cup
"Potato, cooked, with ham and cheese sauce (au gratin)",cup
"Potato, scalloped, with margarine",cup
"Potato, scalloped, no fat added",cup
"Potato, scalloped, with ham, with margarine",cup
"Potato, scalloped, with ham, no fat added",cup
"French fries, fresh, deep fried",portion (made from 1 medium potato)
"French fries, fresh, deep fried",portion (10 strips)
"French fries, fresh, deep fried",portion (10 wedges)
"French fries, frozen, oven baked","cup, curly fries (10 fries)"
"French fries, frozen, oven baked",portion (10 crinkle cuts)
"French fries, frozen, oven baked",portion (10 shoestrings)
"French fries, frozen, oven baked",portion (10 steak cut/dinner fries)
"French fries, frozen, oven baked",portion (10 straight cuts)
"French fries, frozen, oven baked",portion (10 wedges)
"French fries, frozen, oven baked","portion (10 spirals, twists, curly fries)"
"French fries, frozen, deep fried (fast food fries)","cup, curly fries (10 fries)"
"French fries, frozen, deep fried (fast food fries)",supersize fast food order
"French fries, frozen, deep fried (fast food fries)",portion (10 crinkle cuts)
"French fries, frozen, deep fried (fast food fries)",portion (10 shoestrings)
"French fries, frozen, deep fried (fast food fries)",portion (10 steak cut/ wedges)
"French fries, frozen, deep fried (fast food fries)",portion (10 straight cuts)
"French fries, frozen, deep fried (fast food fries)","portion (10 spirals, twists, curly fries)"
"French fries, frozen, deep fried (fast food fries)",medium fast food order
"French fries, frozen, deep fried (fast food fries)",portion (10 waffle fries)
"French fries, breaded or battered",portion (10 curls)
"French fries, breaded or battered",portion (10 strips)
"French fries, breaded or battered",Jack-in-the-Box order
"French fries, breaded or battered",medium fast food order
"French fries, breaded or battered",Arby's small order
"French fries, breaded or battered",Arby's medium order
"French fries, breaded or battered",Popeyes order
"French fries, breaded or battered",KFC Potato Wedges
"Home fries, with vegetable oil ",portion (made from 1 medium potato)
"Home fries, no fat added",portion (made from 1 medium potato)
"Hash browns, fresh potatoes",portion (made from 1 medium potato)
"Hash browns, frozen potatoes","oval patty (approx 4-1/2"" x 2-1/4"" x 1/2"")"
"Hash browns, frozen potatoes","rectangular patty (approx 5-1/2"" x 3-3/4"" x 1/2"")"
"Hash browns, frozen potatoes",Burger King order
"Hash browns, frozen potatoes",McDonald's order
"Hash browns, frozen potatoes",Hardee's order
"Hash browns, frozen potatoes",ounce(s) frozen potatoes
"Hash browns, dry mix, cooked","cup, prepared"
"Hash browns, with cheese",patty
"Potato skins, fried","skin from medium potato (2-1/4"" to 3"" across)"
"Potato skins, fried, with cheese",order (10 halves)
"Potato skins, fried, with cheese","skin from medium potato (2-1/4"" to 3"" across)"
"Potato skins, fried, with cheese and bacon",order (10 halves)
"Potato skins, fried, with cheese and bacon","skin from medium potato (2-1/4"" to 3"" across)"
"Mashed potatoes, with milk",cup
"Mashed potatoes, with milk, and sour cream or cream cheese",cup
"Mashed potatoes, with milk and margarine or butter",cup
"Mashed potatoes, with milk, margarine or butter, and sour cream or cream cheese",cup
"Mashed potatoes, with margarine",cup
"Potato, instant, mashed, with milk and margarine or butter",cup
"Potato, instant, mashed, with milk and sour cream",cup
"Mashed potatoes, with milk, margarine or butter, and cheese",cup
"Mashed potatoes, with sour cream or cream cheese and margarine or butter",cup
"Potato, instant, mashed, with milk, margarine or butter, and egg",cup
"Potato, instant, mashed, with milk, margarine or butter, egg and cheese",cup
"Mashed potatoes, no milk or fat added",cup
"Potato, instant, mashed, with milk, no fat added",cup
